Group,Sub-Category,Use Case / Scenario,Bank Departments Involved,Primary KPIs (1–2),Microsoft / Partner Products,Commercial Cluster,Cluster Value Size,ROI %
Everyday AI Productivity,A Knowledge & Document Co-Pilots,Copilot Studio for most office workers,IT/CTO & Engineering; Data & Analytics (CDO); HR / L&D,Time saved per user/day; Search-to-answer success rate,"Microsoft 365 Copilot; Microsoft Copilot Studio (Teams & Web); Azure AI Search; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft Purview (Compliance Manager, Data Map, Info Protection)",Enterprise Productivity Suite,Small,114
Everyday AI Productivity,A Knowledge & Document Co-Pilots,Knowledge-Hub Search,IT/CTO & Engineering; Data & Analytics (CDO); HR / L&D,Query success rate; Avg. time-to-document,"Azure AI Search; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); SharePoint & OneDrive (Content lifecycle); Microsoft Purview (Compliance Manager, Data Map, Info Protection)",Document Intelligence Suite,Small,100
Everyday AI Productivity,A Knowledge & Document Co-Pilots,Report Drafting,IT/CTO & Engineering; Finance (CFO); Risk Management,Draft cycle time; Edit-to-approve ratio,Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry); SharePoint & OneDrive (Content lifecycle),Enterprise Productivity Suite,Small,250
Everyday AI Productivity,A Knowledge & Document Co-Pilots,Analyze Reports or Unstructured Data,IT/CTO & Engineering; Data & Analytics (CDO); Risk Management,Analysis turnaround time; Insights adoption rate,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure AI Search",Document Intelligence Suite,Small,300
Everyday AI Productivity,A Knowledge & Document Co-Pilots,Specialized LLM in Financial Services,IT/CTO & Engineering; Data & Analytics (CDO); Risk Management; Compliance,Model accuracy@domain; Hallucination rate,"Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft Purview (Compliance Manager, Data Map, Info Protection); Azure AI Content Safety",Enterprise Productivity Suite,Large,320
Everyday AI Productivity,A Knowledge & Document Co-Pilots,AI Interview Screener,HR / L&D; IT/CTO & Engineering,Time-to-shortlist; Screener-to-hire ratio,"Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Power Automate; Microsoft Purview (Compliance Manager, Data Map, Info Protection)",Business Operations Suite,Medium,240
Everyday AI Productivity,B Code & Cyber Co-Pilots,Coding Copilot,IT/CTO & Engineering,Dev velocity (story points); Bug escape rate,GitHub Copilot; Azure DevOps; Azure Kubernetes Service (AKS),Developer & Security Tools,Medium,350
Everyday AI Productivity,B Code & Cyber Co-Pilots,Legacy-Doc Generator,IT/CTO & Engineering; Operations / Back Office,Docs generated/month; Support ticket reduction,Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry); SharePoint & OneDrive (Content lifecycle),,,280
Everyday AI Productivity,B Code & Cyber Co-Pilots,Cyber-Threat Monitor,InfoSec / CISO; IT/CTO & Engineering,MTTD; MTTR,"Microsoft Sentinel; Microsoft Defender for Cloud; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",Developer & Security Tools,Large,380
Everyday AI Productivity,B Code & Cyber Co-Pilots,IT Support Bot,IT/CTO & Engineering,Self-serve resolution rate; Avg. ticket handle time,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure Communication Services (Voice/Chat); Power Automate,,,260
Everyday AI Productivity,C Long Tail,Peer-Comparison Analysis,Risk Management; Finance (CFO); Product / Growth,Insight adoption rate; ROE uplift (bps),"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Azure OpenAI Service (via Azure AI Foundry)",,,280
Everyday AI Productivity,C Long Tail,Industry‑Outlook Write‑up,Retail Banking; Commercial / Wholesale Banking; Finance (CFO),Time-to-publication; Executive satisfaction,Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry),,,200
Everyday AI Productivity,C Long Tail,Convert MCM Comments to Legal Format,Legal; Risk Management,Conversion accuracy; Review cycle time,Azure OpenAI Service (via Azure AI Foundry); Microsoft 365 Copilot,,,240
Everyday AI Productivity,C Long Tail,Credit‑Review YoY Comparison,Credit Risk; Risk Management,Time-to-analysis; Exception rate,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry)",,,260
Everyday AI Productivity,C Long Tail,Integration & Workflow for Credit Structuring,Credit Risk; IT/CTO & Engineering,Cycle time; Approval SLA adherence,Power Automate; Azure API Management; Azure OpenAI Service (via Azure AI Foundry),,,320
Everyday AI Productivity,C Long Tail,Enhance Approval via Historical Conditions,Credit Risk; Risk Management,Approval time; Back-and-forth loops,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure OpenAI Service (via Azure AI Foundry); Azure Databricks",,,340
Everyday AI Productivity,C Long Tail,Credit‑Approval Authority Lookup,Credit Risk; Operations / Back Office,Lookup time; Policy adherence,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure AI Search,,,220
Everyday AI Productivity,C Long Tail,Verify Approval vs. SOP/Policies,Credit Risk; Compliance,Non-compliance rate; Audit exceptions,"Azure OpenAI Service (via Azure AI Foundry); Azure AI Search; Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,290
Everyday AI Productivity,C Long Tail,Early‑Warning Dashboard & Alerts,Risk Management; Credit Risk,True positive rate; Lead time of alerts,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Microsoft Fabric Real-Time Intelligence",,,380
Everyday AI Productivity,C Long Tail,AI for Profitability Table,Finance (CFO); Product / Growth,Margin uplift; Time-to-refresh,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Azure Databricks; Power BI in Fabric",,,300
Everyday AI Productivity,C Long Tail,Past‑Statements Generation,Operations / Back Office; Retail Banking,Self-serve rate; Contact center deflection,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); SharePoint & OneDrive (Content lifecycle),,,240
Everyday AI Productivity,C Long Tail,Internal Sector‑Code Lookup,Operations / Back Office,Lookup time; Error rate,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure AI Search,,,300
Everyday AI Productivity,C Long Tail,Document Version Control,IT/CTO & Engineering; Operations / Back Office,Version errors; Restore time,"SharePoint & OneDrive (Content lifecycle); Microsoft Purview (Compliance Manager, Data Map, Info Protection)",,,300
Everyday AI Productivity,C Long Tail,Covenant‑Clause Comparison,Legal; Credit Risk,Review time; Clause variance accuracy,Azure OpenAI Service (via Azure AI Foundry); Azure AI Search,,,260
Everyday AI Productivity,C Long Tail,Extract Condition Codes,Operations / Back Office; Credit Risk,Extraction accuracy; Time-to-extract,Azure OpenAI Service (via Azure AI Foundry); Azure AI Document Intelligence (Form Recognizer),,,300
Everyday AI Productivity,C Long Tail,Customisable Report Generation,Finance (CFO); Risk Management,Report cycle time; Manual effort reduced,"Microsoft 365 Copilot; Azure OpenAI Service (via Azure AI Foundry); Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",,,280
Everyday AI Productivity,C Long Tail,Regulatory‑Reporting Data Extract,Compliance; Finance (CFO); Risk Management,Time-to-reg report; Rework due to errors,"Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI); Microsoft Purview (Compliance Manager, Data Map, Info Protection); Azure OpenAI Service (via Azure AI Foundry)",,,350
AI Agents Direct to Customer,A Direct-to-Customer Bots,Simple Customer Bot,Retail Banking; Contact Center & Customer Service; IT/CTO & Engineering; Digital Channels (Web/Mobile),Containment rate; CSAT,Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure Communication Services (Voice/Chat); Azure AI Search; Azure AI Content Safety,Customer Experience Platform,Large,300
AI Agents Direct to Customer,A Direct-to-Customer Bots,Islamic Customer Bot,Islamic Banking; Contact Center & Customer Service; Compliance; IT/CTO & Engineering,Containment rate (Islamic products); Compliance exceptions,"Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure AI Search; Microsoft Purview (Compliance Manager, Data Map, Info Protection)",Customer Experience Platform,Medium,280
AI Agents Direct to Customer,A Direct-to-Customer Bots,Advanced Customer Bot,Retail Banking; Contact Center & Customer Service; IT/CTO & Engineering; Data & Analytics (CDO),First contact resolution; AHT,"Microsoft Copilot Studio (Teams & Web); Azure OpenAI Service (via Azure AI Foundry); Azure Communication Services (Voice/Chat); Azure AI Search; Microsoft Fabric (Lakehouse, RTI, Data Factory, Warehouse, Power BI)",Customer Experience Platform,Large,350
